                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                  1.137,                0.53584,                0.95697,                 1.3019,                0.50432,                0.98026,                0.79961,                0.79614,                0.79961,                0.28816,                 2.1469,                0.89466,                 1.4008,                   2.19,                0.98613,                 1.4358,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.1093,                0.52633,                0.95081,                 1.2839,                0.49776,                0.97431,                0.79456,                0.81974,                0.79065,                  0.296,                 2.0662,                 0.9092,                 1.3638,                 2.1325,                0.89069,                 1.4057,               0.000416,               0.000416,               0.000416
                     83,                 1.1095,                0.52393,                0.95954,                 1.2826,                0.49314,                0.98173,                0.81469,                0.81135,                0.80713,                0.28748,                 2.1036,                0.92454,                 1.3857,                 2.1865,                0.91778,                 1.4376,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.1037,                0.52146,                0.95323,                 1.2705,                0.50118,                0.97716,                0.78862,                0.80901,                 0.7914,                0.29272,                 2.1166,                0.92706,                 1.3749,                 2.2385,                0.91763,                 1.4332,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.0799,                 0.5145,                 0.9495,                 1.2497,                0.49128,                 0.9732,                  0.808,                0.77666,                0.79568,                0.29672,                  2.112,                0.89768,                 1.3835,                 2.1945,                0.90659,                 1.4334,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.0851,                0.51575,                0.94703,                 1.2602,                0.49229,                0.96954,                0.80315,                0.75536,                    0.8,                0.29932,                  2.103,                0.95323,                 1.3884,                 2.1821,                0.97577,                 1.4301,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.0929,                 0.5186,                0.94909,                 1.2615,                0.48656,                0.96826,                 0.7975,                0.78112,                0.79986,                0.28966,                 2.1186,                0.94895,                 1.3954,                 2.2316,                0.96233,                 1.4557,               0.000317,               0.000317,               0.000317
                     88,                 1.0698,                0.50546,                0.94066,                 1.2341,                0.47182,                0.96213,                0.78314,                0.78755,                0.78103,                 0.2898,                 2.1528,                0.93575,                 1.4234,                 2.1982,                0.98437,                 1.4512,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.0739,                0.50767,                0.94533,                 1.2409,                0.47149,                 0.9682,                0.79655,                0.80687,                0.79223,                0.29152,                 2.1321,                0.89873,                 1.4085,                 2.2295,                0.88899,                 1.4611,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.0669,                0.50417,                0.94116,                 1.2371,                 0.4701,                0.96389,                0.79622,                0.79614,                 0.7836,                0.29178,                 2.1391,                0.90978,                 1.4059,                 2.1987,                0.90612,                 1.4483,              0.0002576,              0.0002576,              0.0002576
                     91,                  1.071,                  0.495,                0.95968,                 1.1986,                0.42695,                0.98315,                0.77892,                0.80143,                0.78244,                0.28524,                 2.1527,                0.88204,                 1.4082,                 2.2025,                0.96226,                 1.4434,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.0312,                0.48099,                 0.9406,                 1.1559,                 0.4054,                0.96261,                0.78915,                0.79185,                0.78586,                0.29346,                 2.1379,                0.89882,                 1.4097,                 2.2105,                0.92272,                 1.4573,               0.000218,               0.000218,               0.000218
                     93,                 1.0189,                0.47252,                0.93947,                 1.1417,                0.40422,                0.96177,                0.75995,                0.78127,                 0.7578,                0.27943,                  2.146,                0.90021,                 1.4337,                 2.2134,                0.94449,                  1.471,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.0192,                0.46766,                0.94006,                 1.1444,                0.39443,                0.96203,                0.78004,                0.79905,                0.78384,                0.28805,                 2.1487,                 0.9013,                 1.4145,                 2.2475,                0.89476,                 1.4683,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.0053,                0.46452,                0.93574,                 1.1299,                0.39049,                0.95918,                0.79112,                0.77897,                0.78686,                0.28696,                 2.1967,                0.91264,                 1.4321,                  2.265,                0.93923,                 1.4726,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.0134,                0.46827,                0.93725,                   1.14,                0.39524,                0.95938,                0.80775,                0.77541,                0.79003,                0.28712,                 2.1677,                0.91884,                 1.4168,                 2.2403,                0.92516,                 1.4579,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.0052,                0.46457,                0.93296,                 1.1253,                0.38941,                0.95531,                0.77287,                0.78864,                0.78174,                0.28792,                 2.1779,                 0.9109,                 1.4405,                 2.2677,                0.86232,                 1.4916,               0.000119,               0.000119,               0.000119
                     98,                 1.0104,                0.46402,                0.93356,                  1.131,                0.39032,                0.95703,                0.79729,                 0.7618,                0.77196,                0.28711,                 2.1692,                0.91289,                 1.4359,                  2.244,                 0.7989,                 1.4768,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.98742,                0.45325,                0.92935,                 1.1107,                 0.3826,                 0.9532,                0.79644,                0.77682,                0.78281,                0.28742,                 2.1471,                0.91708,                 1.4329,                 2.2344,                0.88134,                 1.4724,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 0.9888,                0.45552,                0.93203,                 1.1078,                0.38089,                0.95535,                0.79648,                0.76609,                0.78691,                0.28924,                 2.1444,                0.92348,                 1.4282,                 2.2145,                0.89644,                 1.4644,               5.96e-05,               5.96e-05,               5.96e-05
